WOJEWîDZTWO	NAZWA ZAKüADU	ADRES	TEL	E-MAIL
dolnoćlskie	ĘABART SP. Z O.O.	ul. Krzemieniecka 5, Wroc¸aw	713 423 252	bok@abart.com.pl
dolnoćlskie	AMARGAZ ARTUR KRZYZANOWSKI	ul. Junacka 50, Wroc¸aw	505 568 514	amargaz@op.plĘ
dolnoćlskie	P.H.U. 'MARTIN SERWIS' MARCIN PIETRZYK	ul. üukasiÄskiego 7, ĺwidnica	607 266 521	martin_klx@poczta.fmĘ
dolnoćlskie	EKO ALMA SERWIS SP. J. A.T. JAKUBOWSCY	ul. Opolska 23, O¸awa	713 317 389	serwis@autogassystem.plĘ
dolnoćlskie	AUTO SERWIS MARCIN MATEJKO	Stary Lubin 17F, Lubin	665 513 859	marcinmatejko@onet.euĘ
dolnoćlskie	AUTO BRC SYSTEM TOMASZ SOSIK	ul. Sk¸adowa 3, ĺwidnica	748 569 443	autobrc@op.plĘ
dolnoćlskie	DOBRYGOWSKI SP. Z O.O.	ul. Przemys¸owa 1 E, Lubin	502 536 276	wojciech.majdanski@wp.pl
dolnoćlskie	PRZEDSI˘BIORSTWO WIELOBRANűOWE EXPRES-SERVICE DOMINIK KACZKOWSKI	ul. Polna 4, Wa¸brzych	502 489 205	dominik_auto_gaz@op.pl
dolnoćlskie	SPARKO AUTO GAZ, KONRAD GAüUSZA	ul. GrabiszyÄska 241 e, Wroc¸aw		
kujawsko-pomorskie	INSTAL- GAZ ZBIGNIEW WIATROWSKI TOMASZ JAKUBCZYK	ul. Glinki 149, Bydgoszcz	523 611 754	poczta@instalgaz.bydgoszcz.plĘ
kujawsko-pomorskie	ART-POL JAROSüAW CYWIÁSKI	ul. Cukrowa 16, Bia¸e B¸ota	504 493 000	artpol70@o2.plĘ
kujawsko-pomorskie	LPG SERWIS MIROSüAW JASIENIECKI	ü«g Witoszyn 13 B, Fabianki	600 899 964	lpgserwisbrc@gmail.comĘ
kujawsko-pomorskie	AUTO GAZ CENTRUM WALCZEWSKI SEBASTIAN	ToruÄska 30, Bydgoszcz	513 933 865	sebamega78@o2.plĘ
kujawsko-pomorskie	AUTO GAZ CENTRUM MACIEJ KAWECKI	ul. Sokola 41, ToruÄ		szymekpl3@wp.plĘ
kujawsko-pomorskie	AUTO SERWIS INSTALACJE GAZOWE ARKADIUSZ SZYNALSKI SP.Z O.O.	ul. Pod D«bow G—r 35/39, ToruÄ	607 714 432	a.szynalski2@gmail.com
kujawsko-pomorskie	MOTOGAZ PAWEü KWIATKOWSKI	ul. DobrzyÄska 60, W¸oc¸awek	504 239 339	kontakt@motogaz.com.pl
kujawsko-pomorskie	ARPOL MOTOR COMPANY SP. Z O.O.	ul. Szosa Bydoska 52, ToruÄ		
lubelskie	SOLAR-CAR DZIUBA MIECZYSüAW	ul. Berberysowa 8, Lublin	601 238 055Ę	info@solar-car.plĘ
lubelskie	AUTO-MIK M.I.B. űUREK SP.J.	Podzamcze 245, ü«czna	817 522 848	leczna@automik.plĘ
lubelskie	USüUGI MOTORYZACYJNE 'TECHCAR' SüAWOMIR SKROBAÁSKI	ul. Krzeszowska 64, Bi¸goraj	660 490 206	slawek.skrobanski@gmail.comĘ
lubelskie	AUTO-GAZ ĘSüAWOMIR PIEKARZ	ul. ü«czyÄska 56B, Lublin	601 363 300	info@auto-gaz.lublin.plĘ
lubelskie	TRANS-MOTO-GAZ ANTONI NAGAJEK	Lasy ul. Wrzosowa 21, Kraćnik	509 277 915	atnagajek@gmail.comĘ
lubelskie	F.H.U. AUTO-LIDER, JACEK ĺWIDZIÁSKI	Charl«ý Kolonia 36, Charl«ý	817 577 654	autolider.gaz@o2.plĘ
lubuskie	EKOAUTO GAS SERWIS LECH OKORSKI	ul. Chynowska 5, Zielona G—ra	509 412 911	ekoauto3@wp.plĘ
lubuskie	JETRONICS	ul. Kr—tka 22, Gorz—w Wielkopolski	504 260 778	biuro@jetronics.pl
¸—dzkie	BLOKMAN PIOTR KRZYSZTOF WASIK	ul. Z¸otno 25, ü—d	601 993 938	blokman@blokman.plĘ
¸—dzkie	GOMAR MOTORYZACJA ROBERT üYűWA	ul. Polna 16, üask	436 752 734	gomar@onet.euĘ
¸—dzkie	AUTO-ZIMA ZIMNICKI DARIUSZ	Zaosie 5, Ujazd	608 860 518	darek198625@wp.plĘ
¸—dzkie	ROB-GAZ ROBERT WîJCIAK	ul. PowstaÄc—w Wielkopolskich 28, Opoczno	506 193 565	rob-gaz@wp.plĘ
¸—dzkie	AUTO-GAZ TADEUSZ KRUPIÁSKI	ul. NowobielaÄska 26 A, Skierniewice	504 164 688Ę	robkrup@poczta.wp.pl
¸—dzkie	F.H.U. EKO-AUTO ROBERT GîRSKI	ul. RokiciÄska 32, ü—d	42 6739494Ę	eko-auto@eko-auto.com.pl
¸—dzkie	A.R.G. ARTUR JABüOÁSKI	ul. Legion—w 112, ü—d	692274666	autogaz.arg@vp.pl
ma¸opolskie	CZAKRAM SP. Z O.O.	ul. Dojazd 1, Tarn—w	14 6460090Ę	bok@czakram.pl
ma¸opolskie	F.H.U. KARAT MARZENA ZI˘Ś	ul. Centralna 62, Krak—w	508 187 622	skp.karat@onet.euĘ
ma¸opolskie	AUTO GAZ ARIES SPîüKA CYWILNA	UL. Sobieskiego 1, Brzeszcze	693 159 914	info@autogazaries.plĘ
ma¸opolskie	AUTONAPRAWA, MOTO-GAZ MARCIN KORUS	ul. M¸yÄska 56, Wadowice	501 520 113	korusgaz@post.plĘ
ma¸opolskie	EKO-POWER-GAZ ANDRZEJ MAJKOWSKI	ul. NazaretaÄska 12, Krak—w	502 031 935	ekopowergaz@gmail.comĘ
ma¸opolskie	STAR-GAZ TOMASZ CIAPAüA	ul. Krakowska 26, Stary Scz	505 329 335	stargaz@interia.pl
mazowieckie	ENERGY GAZ POLSKA	ul. Ostrobramska 38 A, Warszawa	228 100 090	egp@egp.plĘ
mazowieckie	J.J. KARASIÁSCY ĘS.C.	al. Krakowska 14, Warszawa	603 350 272	autonagaz@autonagaz.waw.plĘ
mazowieckie	ADGAZ ADAM ĘST˘PIEÁ	ul. Wićniowa 8a, Piaseczno	509 191 929	biuro.adgaz@gmail.comĘ
mazowieckie	NOWOTCZYÁSKI PIOTR USüUGI	ul. GdyÄska 25, M¸awa	501 387 642	nowotczynski@wp.plĘ
mazowieckie	J-MAX JERZY KRZAK	ul. S¸omiana 14, Warszawa	226 649 824	biuro@slomianalpg.plĘ
mazowieckie	WOLF-CAR SYLWESTER WILCZEK	Aleksandr—wka, ul. G¸—wna 19, Kozienice	692 342 888	wolfcar1@wp.plĘ
mazowieckie	LEGALIZACJA ZBIORNIKîW LPG, AUTO-GAZ üUKASZ KOBZA	ul. Warszawska 172, Radom		
opolskie	AUTO-SERVICE-GAZ - ROBERT BIERNAT	ul. Polna 18, Skoroszyce	774 318 031	
podkarpackie	F.H.U. WIKI GAZ GRZEGORZ BUĺ	ul. Wolnoćci 250, Mielec	177 889 993	fhuwikigaz@gmail.comĘ
podkarpackie	FIRMA HANDLOWO-USüUGOWA "FLOKS" PIOTR MUNIA	ul. gen. J—zefa Bema 13B, Krosno	605 573 047	biuro@autogaz-krosno.plĘ
podlaskie	AUTO-GAZ JUNIOR KUKLIÁSKI MARIUSZ	ul. Przemys¸owa 42, Grajewo	509 136 825	autogazjunior@onet.pl
podlaskie	SACAR J. CERNA, Z. CERNY SP. JAWNA	AL. Jana Paw¸a II 51		
pomorskie	MAROL-GAZ MARCIN CZAPP	ul. GliÄskiego 16, Bolszewo	606 398 137	marol-gaz@wp.pl
pomorskie	AUTO-ATUT SP.C. W. ORüOWSKI J. STEFANOWSKI	ul. Go¸«bia 1, Gdynia	586 685 777	whorlowski@wp.plĘ
pomorskie	AUTO GAZ ELEKTRONIKA STANISüAW BUCZAK	ul. Do Studzienki 28, GdaÄsk	507 457 845	autogazkts@gmail.comĘ
pomorskie	AUTO-EKO BEATA GRABOWSKA KRZYSZTOF GRABOWSKI ĘS.C.	ul. Tucholska 7, Chojnice	523 971 198	b.k.grabowscy@wp.plĘ
pomorskie	AUTO GAZ S-M SüAWOMIR BARABASZ	ul. Cementowa 16 A, GdaÄsk	583 457 028	ppbarabasz@gmail.comĘ
pomorskie	4*4 AUTOGAZTECHNIK, JAROSüAW ROSTOWSKI	ul. KielnieÄska 183, GdaÄsk	607 555 333	biuro@autogaztechnik.plĘ
